#com.redshiftdev.Sync-Solver-Health-Export (2.3.31),,
asleep-start-date-time,asleep-end-date-time,minutes-asleep
2017-04-06T22:15:00-04:00,2017-04-07T01:58:00-04:00,223
2017-04-07T03:16:00-04:00,2017-04-07T03:30:00-04:00,14
2017-04-07T05:45:00-04:00,2017-04-07T06:00:00-04:00,15
2017-04-07T23:17:00-04:00,2017-04-08T03:16:00-04:00,239
2017-04-08T04:30:00-04:00,2017-04-08T05:05:00-04:00,35
2017-04-08T05:15:00-04:00,2017-04-08T05:35:00-04:00,20
2017-04-08T05:43:00-04:00,2017-04-08T06:01:00-04:00,18
2017-04-08T06:56:00-04:00,2017-04-08T07:30:00-04:00,34
2017-04-08T22:06:00-04:00,2017-04-09T05:13:00-04:00,427
2017-04-09T06:35:00-04:00,2017-04-09T08:41:00-04:00,126
2017-04-09T21:30:00-04:00,2017-04-10T03:32:00-04:00,362
2017-04-10T23:45:00-04:00,2017-04-11T00:00:00-04:00,15
2017-04-11T00:19:00-04:00,2017-04-11T00:30:00-04:00,11
2017-04-11T00:45:00-04:00,2017-04-11T01:00:00-04:00,15
2017-04-11T02:45:00-04:00,2017-04-11T03:15:00-04:00,30
2017-04-11T03:31:00-04:00,2017-04-11T03:45:00-04:00,14
2017-04-11T05:16:00-04:00,2017-04-11T05:35:00-04:00,19
2017-04-11T05:48:00-04:00,2017-04-11T06:29:00-04:00,41
2017-04-11T16:38:00-04:00,2017-04-11T17:00:00-04:00,22
2017-04-11T23:45:00-04:00,2017-04-11T23:58:00-04:00,13
2017-04-12T00:15:00-04:00,2017-04-12T00:30:00-04:00,15
2017-04-12T00:40:00-04:00,2017-04-12T01:30:00-04:00,50
2017-04-12T03:31:00-04:00,2017-04-12T03:47:00-04:00,16
2017-04-12T04:45:00-04:00,2017-04-12T05:09:00-04:00,24
2017-04-13T01:28:00-04:00,2017-04-13T04:48:00-04:00,200
2017-04-13T05:17:00-04:00,2017-04-13T05:30:00-04:00,13
2017-04-13T14:16:00-04:00,2017-04-13T14:50:00-04:00,34
2017-04-13T15:06:00-04:00,2017-04-13T15:15:00-04:00,9
2017-04-14T09:15:00-04:00,2017-04-14T11:30:00-04:00,135
2017-04-14T16:45:00-04:00,2017-04-14T17:13:00-04:00,28
2017-04-15T23:16:00-04:00,2017-04-15T23:45:00-04:00,29
2017-04-16T00:00:00-04:00,2017-04-16T00:28:00-04:00,28
2017-04-16T01:00:00-04:00,2017-04-16T01:27:00-04:00,27
2017-04-16T01:44:00-04:00,2017-04-16T02:00:00-04:00,16
2017-04-16T02:54:00-04:00,2017-04-16T03:27:00-04:00,33
2017-04-16T05:15:00-04:00,2017-04-16T06:20:00-04:00,65
2017-04-16T06:31:00-04:00,2017-04-16T08:18:00-04:00,107
2017-04-17T00:06:00-04:00,2017-04-17T02:30:00-04:00,144
2017-04-17T03:15:00-04:00,2017-04-17T03:45:00-04:00,30
2017-04-17T04:30:00-04:00,2017-04-17T04:45:00-04:00,15
2017-04-17T05:02:00-04:00,2017-04-17T05:15:00-04:00,13
2017-04-17T13:30:00-04:00,2017-04-17T13:59:00-04:00,29
2017-04-17T22:42:00-04:00,2017-04-18T07:12:00-04:00,510
2017-04-18T14:09:00-04:00,2017-04-18T15:07:00-04:00,58
2017-04-18T22:57:00-04:00,2017-04-19T03:29:00-04:00,272
2017-04-19T03:45:00-04:00,2017-04-19T05:31:00-04:00,106
2017-04-21T00:15:00-04:00,2017-04-21T06:00:00-04:00,345
2017-04-21T06:16:00-04:00,2017-04-21T07:29:00-04:00,73
2017-04-23T00:15:00-04:00,2017-04-23T04:51:00-04:00,276
2017-04-23T04:59:00-04:00,2017-04-23T07:29:00-04:00,150
2017-04-23T08:15:00-04:00,2017-04-23T08:57:00-04:00,42
2017-04-23T13:05:00-04:00,2017-04-23T13:37:00-04:00,32
2017-04-23T23:30:00-04:00,2017-04-24T00:47:00-04:00,77
2017-04-24T01:00:00-04:00,2017-04-24T05:29:00-04:00,269
2017-04-24T22:00:00-04:00,2017-04-25T00:32:00-04:00,152
2017-04-25T00:45:00-04:00,2017-04-25T04:45:00-04:00,240
2017-04-25T05:00:00-04:00,2017-04-25T06:52:00-04:00,112
2017-04-25T13:45:00-04:00,2017-04-25T13:58:00-04:00,13
2017-04-26T00:00:00-04:00,2017-04-26T07:42:00-04:00,462
2017-04-26T21:50:00-04:00,2017-04-27T02:57:00-04:00,307
2017-04-27T03:05:00-04:00,2017-04-27T07:00:00-04:00,235
2017-04-27T22:17:00-04:00,2017-04-28T04:31:00-04:00,374
2017-04-28T05:31:00-04:00,2017-04-28T06:00:00-04:00,29
